date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
1/1/22 0:00,2.22,4.7,25.3,30,22,273,223.32,694.4,0,52,2.8,0,20.61,8.4,318
1/1/22 1:00,2.54,12,31.3,43.1,12,169,114.31,694.1,0,57,2.9,0.053,18.76,4.4,332
1/1/22 2:00,4.3,72,39.1,110.9,6,215,143.92,693.9,0,59,3.4,0.087,18.35,4.6,241
1/1/22 3:00,2.07,12.9,17.8,30.6,15,291,218.59,693.5,0,32,3.1,0.048,23.93,13.3,283
1/1/22 4:00,1.08,3,3.8,6.7,24,134,71.94,693.4,0,15,3,0.035,28.05,15,277
1/1/22 5:00,1.1,2.9,4.5,7.3,24,66,8.05,693.6,0,18,3,0.035,26.79,18.2,293
1/1/22 6:00,1.05,3,2.9,5.8,25,36,7.32,693.7,0,17,2.8,0.035,26.94,16.4,290
1/1/22 7:00,1,3.2,1.7,4.8,27,33,4.95,694.5,0,18,2.8,0.034,27.71,21.9,302
1/1/22 8:00,1.01,2.7,1.7,4.2,27,69,6.34,695,0,20,NULL,0.034,27.41,20,278
1/1/22 9:00,1.01,2.8,1.8,4.5,28,73,5.27,695.2,0,20,2.9,0.034,27.69,20.5,276
1/1/22 10:00,1,3.3,2,5.1,29,63,6.99,696,0,19,2.7,0.035,28.93,22,286
1/1/22 11:00,1.01,3.5,2.5,5.8,29,69,6.57,NULL,0,18,2.8,0.028,30.27,21,284
1/1/22 12:00,1.05,4.3,2.7,6.9,31,71,5.88,NULL,0,16,2.7,0.024,30.96,26,294
1/1/22 13:00,1.07,4.3,3.2,7.3,34,129,10.17,NULL,0,13,2.7,0.187,31.52,25.3,294
1/1/22 14:00,1.09,4.8,4.1,8.7,36,91,7.39,NULL,0,11,2.6,0.287,32.01,23.1,292
1/1/22 15:00,1.11,4.4,4.4,8.6,37,48,5.92,NULL,0,9,2.6,0.263,32.9,18.7,281
1/1/22 16:00,1.14,5,4.9,9.8,39,34,5.39,NULL,0,7,NULL,0.205,32.87,21.4,294
1/1/22 17:00,1.13,4.7,5.2,9.9,39,25,5.43,NULL,0,7,NULL,0.132,32.52,18.1,293
1/1/22 18:00,1.18,4.8,8.1,12.8,36,18,5.36,NULL,0,8,NULL,0.037,30.8,16.4,293
1/1/22 19:00,1.3,3.9,13.9,17.7,28,25,6.12,NULL,0,10,2.7,0.027,29.38,10.3,266
1/1/22 20:00,1.49,9.9,19,28.8,22,34,11.39,NULL,0,12,2.9,0.032,27.6,9.9,301
1/1/22 21:00,1.56,11.3,22.7,33.9,17,38,12.58,NULL,0,14,2.9,0.034,26.07,5,296
1/1/22 22:00,1.89,27.7,31.8,59.3,6,41,14.75,NULL,0,17,3.6,0.046,24.63,4.2,332
1/1/22 23:00,1.64,12.6,24.3,36.9,10,52,22.31,NULL,0,19,2.9,0.035,23.17,7.2,289
1/2/22 0:00,1.31,6.2,16,22.1,18,55,19.42,NULL,0,18,2.8,0.028,22.66,6.8,280
1/2/22 1:00,1.42,8.2,20.1,28.2,12,43,10.8,NULL,0,21,3.4,0.031,21.05,5.2,307
1/2/22 2:00,1.15,3.4,14.6,17.9,17,38,7.6,NULL,0,21,2.9,0.026,20.65,9.9,321
1/2/22 3:00,1.07,2.5,10.4,12.9,23,26,6.45,NULL,0,19,2.9,0.024,21.63,15.1,293
1/2/22 4:00,1.05,2.3,4.2,6.4,31,21,5.37,NULL,0,19,2.7,0.02,22.1,13.8,310
1/2/22 5:00,1.12,2.4,5.8,8.1,32,16,NULL,NULL,0,22,3.1,0.021,19.85,12,96
1/2/22 6:00,1.1,3.4,5.7,9,33,121,19.11,NULL,0,22,3,0.021,17.71,10.7,62
1/2/22 7:00,1.05,2.7,4.6,7.1,34,142,10.43,NULL,0,25,2.9,0.02,16.58,13.3,93
1/2/22 8:00,1.06,3,6.1,9,29,114,11.55,NULL,0,34,2.7,0.025,13.87,10.2,82
1/2/22 9:00,1.06,3.6,5.9,9.4,29,101,11.57,NULL,0,36,3,0.059,12.41,13.3,90
1/2/22 10:00,1.1,4.1,5.4,9.4,28,98,11.17,NULL,0,37,3.4,0.138,11.14,16.7,106
1/2/22 11:00,1.11,4.3,5.1,9.3,29,92,10.75,NULL,0,35,3.7,0.211,11.73,15,105
1/2/22 12:00,1.11,4.4,5.4,9.7,30,84,11.08,NULL,0,32,3.7,0.266,12.72,12.2,109
1/2/22 13:00,1.14,4.6,6.1,10.6,32,77,11.52,NULL,0,30,4.3,0.295,13.69,11.5,102
1/2/22 14:00,1.13,4.5,6.4,10.9,35,76,10.83,NULL,0,28,4.7,0.293,14.53,11.4,115
1/2/22 15:00,1.13,4.1,6.5,10.5,37,70,10.37,NULL,0,26,3.9,0.262,14.93,13.4,107
1/2/22 16:00,1.14,4.6,7.8,12.4,35,66,9.56,NULL,0,25,3.5,0.205,14.45,15.1,103
1/2/22 17:00,1.15,3.6,6.8,10.3,35,66,9.68,NULL,0,25,3.6,0.127,13.1,16.8,99
1/2/22 18:00,1.21,3.7,9.8,13.3,31,61,11.32,NULL,0,25,3.9,0.047,11.58,16.2,108
1/2/22 19:00,1.22,3.1,11.9,14.8,28,60,11.84,NULL,0,26,4.2,0.023,10.12,14.1,109
1/2/22 20:00,1.25,3.1,12.7,15.8,27,57,10.45,NULL,0,26,3.8,0.023,9.01,13.1,103
1/2/22 21:00,1.25,3.4,15.2,18.5,25,48,9.62,NULL,0,25,3.6,0.024,7.87,10.3,94
1/2/22 22:00,1.3,5.6,19.6,25.1,20,31,9.38,NULL,0,25,6,0.027,7.14,7.6,94
1/2/22 23:00,1.21,2.9,14.2,17,25,30,8.41,NULL,0,25,4.2,0.023,6.79,8.8,101
1/3/22 0:00,1.18,4.4,15.4,19.8,23,31,7.2,NULL,0,26,3.3,0.025,5.99,5.2,63
1/3/22 1:00,1.17,3.4,12,15.3,26,31,7.04,NULL,0,27,3.1,0.023,5.2,5.3,40
1/3/22 2:00,1.1,2.5,9.7,12.1,28,24,5.75,NULL,0,27,3.3,0.021,5.35,5.3,102
1/3/22 3:00,1.11,2.4,9.8,12.1,26,18,6.11,NULL,0,29,3.2,0.021,4.41,3.5,5
1/3/22 4:00,1.09,2.2,8.6,10.6,25,20,11.79,NULL,0,32,3.1,0.022,3.45,3.9,37
1/3/22 5:00,1.12,10.8,15.9,26.6,18,25,8.94,NULL,0,34,3.1,0.038,2.97,3.8,349
1/3/22 6:00,1.33,44.1,27.2,71.2,7,28,11.14,NULL,0,35,3.3,0.063,3.15,2.9,332
1/3/22 7:00,1.56,54.7,26.9,81.4,5,45,14.84,NULL,0,38,3.3,0.059,2.81,4,302
1/3/22 8:00,1.74,71.9,24,95.8,5,56,17.23,NULL,0,41,3.5,0.093,2.28,3.2,339
1/3/22 9:00,1.86,68.2,26.2,94.3,10,63,18.35,NULL,0,32,5.2,0.123,7.11,2.4,158
1/3/22 10:00,1.32,11.5,15,26.4,24,53,10.15,NULL,0,27,5.2,0.15,8.04,6.7,127
1/3/22 11:00,1.28,11.1,16.2,26.6,27,34,10.53,NULL,0,26,6,0.221,9.14,9.1,103
1/3/22 12:00,1.45,16.3,22.8,39.1,28,49,16.35,NULL,0,25,5.5,0.279,10.3,12.6,107
1/3/22 13:00,1.34,9.4,17.4,26.8,39,61,12.27,NULL,0,23,6.3,0.303,11.28,16.1,122
1/3/22 14:00,1.31,6.6,14.8,21.3,45,59,13.63,NULL,0,22,5.5,0.297,12.01,17,114
1/3/22 15:00,1.25,5.3,12,17.2,46,64,14.41,NULL,0,21,3.8,0.263,12.72,17.9,112
1/3/22 16:00,1.24,5,12.2,17,44,60,11.5,NULL,0,22,3.7,0.203,13.15,17.3,101
1/3/22 17:00,1.23,4.6,12.9,17.4,42,65,10.39,NULL,0,23,3.5,0.127,13.21,16.9,97
1/3/22 18:00,1.24,4,15.2,19.1,37,54,9.27,NULL,0,24,3.4,0.049,12.47,15.4,91
1/3/22 19:00,1.31,4,22.8,26.8,25,49,10.33,NULL,0,24,3.6,0.028,11.45,10.5,92
1/3/22 20:00,1.46,7.2,32.6,39.7,13,49,13.8,NULL,0,26,4.2,0.034,10.55,9.8,104
1/3/22 21:00,1.43,6.7,29.4,36,14,55,12.34,NULL,0,26,4.1,0.032,9.73,11.1,95
1/3/22 22:00,1.36,5.4,26.7,32,16,54,11.7,NULL,0,26,4,0.03,9.16,10.8,105
1/3/22 23:00,1.35,7.2,25.7,32.8,16,36,10.4,NULL,0,27,4.4,0.03,8.62,7.3,147
1/4/22 0:00,1.52,19.4,34.3,53.5,6,37,12.29,NULL,0,28,4.3,0.04,7.73,3.3,140
1/4/22 1:00,1.27,2.4,21.2,23.7,19,39,13.3,NULL,0,28,3.7,0.026,7.93,7.3,149
1/4/22 2:00,1.28,2.9,21,23.8,17,43,16.61,NULL,0,31,3.4,0.026,6.84,4,62
1/4/22 3:00,1.28,2.7,19.7,22.3,16,43,16.15,NULL,0,35,3.2,0.026,5.93,4.3,347
1/4/22 4:00,1.3,2.9,17.5,20.4,13,40,32.41,NULL,0,37,3.1,0.025,5.36,7.6,298
1/4/22 5:00,1.29,7.9,20.5,28.3,10,48,17.76,NULL,0,38,3,0.04,4.68,8.2,304
1/4/22 6:00,1.34,11.1,25.2,36.2,8,39,14.01,NULL,0,36,3.2,0.064,5.15,8.6,288
1/4/22 7:00,1.66,49.4,29.1,78.3,5,38,18.75,NULL,0,37,3.4,0.111,4.86,3.8,219
