date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
01/01/2022 00:00,2.36,19.8,48.4,68,5,142,111,715.7,0,59,4,0,21.65,6.5,285
01/01/2022 01:00,2.29,10.8,44.5,55.1,6,168,112.16,715.5,0,59,4.6,0,21.21,7.1,284
01/01/2022 02:00,2.71,28.3,47.1,75.2,4,203,139.31,715.4,0,62,5.9,0,21.21,7.7,290
01/01/2022 03:00,2.31,19.6,42.1,61.5,5,262,177.68,715.1,0,59,5.5,0,20.44,8.2,294
01/01/2022 04:00,1.85,13,39.5,52.5,4,185,134.21,715.1,0,59,4.9,0,19.8,8.1,287
01/01/2022 05:00,1.3,5.4,25.6,30.9,8,133,92.62,715,0,66,4.1,0,18.35,7.8,284
01/01/2022 06:00,1.11,6.1,21.8,27.9,9,93,47.8,715,0,61,4.1,0,18.61,7.3,283
01/01/2022 07:00,0.83,6,17.1,23.1,12,72,26.37,715.4,0,49,4,0,19.8,8.8,279
01/01/2022 08:00,0.79,12.3,19.4,31.7,7,48,19.07,715.9,0,39,3.8,0.007,21.67,8,262
01/01/2022 09:00,0.92,17.7,22.5,40.1,7,47,19.27,716.7,0,37,4.4,0.072,23.06,6.2,215
01/01/2022 10:00,0.84,17.1,19.6,36.6,13,61,13.06,717.7,0,30,5.4,0.228,27.93,6.2,90
01/01/2022 11:00,0.55,5.2,7.2,12.5,29,59,8.21,718,0,20,3.4,0.338,30.8,9.6,108
01/01/2022 12:00,0.53,4.5,6.7,11.2,35,59,8.03,717.9,0,19,2.9,0.405,32.45,8.7,132
01/01/2022 13:00,0.53,4.3,6.3,10.6,37,59,6.46,717,0,18,2.9,0.435,33.18,12.7,140
01/01/2022 14:00,0.55,4.1,6.7,10.8,41,41,6.43,716.3,0,17,3,0.421,33.99,10.4,130
01/01/2022 15:00,0.56,3.9,7.4,11.3,47,43,6.85,715.8,0,16,3.2,0.358,34.41,11.3,105
01/01/2022 16:00,0.54,3.6,7.6,11.2,49,51,6.57,715.7,0,15,3,0.253,34.66,8.7,131
01/01/2022 17:00,0.59,3.6,10.1,13.7,47,37,7.85,715.9,0,15,3,0.142,34.16,8.2,91
01/01/2022 18:00,0.97,14.4,27.6,41.9,22,45,8.81,716.2,0,17,3.6,0.017,31.79,5.1,183
01/01/2022 19:00,1.54,41.7,41.6,83.1,4,41,10.84,716.6,0,25,3.6,0.001,27.15,4.2,262
01/01/2022 20:00,1.87,65.1,41.6,106.5,4,51,16.27,717.2,0,27,3.7,0,25.76,4.7,245
01/01/2022 21:00,1.36,37.1,36.1,73.1,4,54,16.89,717.6,0,29,3.2,0,24.2,5.9,267
01/01/2022 22:00,1.17,22,33.8,55.8,6,47,14,718,0,28,3.8,0,24.45,4.4,210
01/01/2022 23:00,1.56,53.4,35,88.3,3,50,13.73,718.4,0,32,4.1,0,23.31,4.9,264
02/01/2022 00:00,1.5,42.6,34,76.4,3,53,17.2,718.6,0,37,4.7,0,21.94,5.1,242
02/01/2022 01:00,0.97,14,26.4,40.4,9,46,11.04,718.9,0,31,4.3,0,22.51,8.8,270
02/01/2022 02:00,0.76,4.6,25.6,30.2,11,31,11.4,719.3,0,24,6.5,0,23.96,8.4,278
02/01/2022 03:00,0.51,3.3,11.5,14.7,25,32,6.18,719.9,0,20,5.4,0,25.18,10.4,268
02/01/2022 04:00,0.49,3,9.4,12.4,28,24,10.6,721.2,0,21,4.6,0,23.6,11.3,292
02/01/2022 05:00,0.4,2.7,3.4,6.1,38,121,12.7,723.5,0,21,3.3,0,20.6,7.1,109
02/01/2022 06:00,0.4,2.6,4.7,7.4,35,128,10.64,724.8,0,25,2.8,0,18.72,8,298
02/01/2022 07:00,0.43,2.6,5.7,8.3,31,109,14.6,726.3,0,35,2.7,0,15.72,11.3,347
02/01/2022 08:00,0.44,2.7,6.5,9.3,31,158,12.74,727.9,0,38,2.7,0.008,12.73,11.1,35
02/01/2022 09:00,0.44,3.5,6.1,9.6,29,122,9.8,729.4,0,40,3.1,0.093,10.86,13.5,29
02/01/2022 10:00,0.44,4.2,5.4,9.6,27,86,8.12,731.1,0,41,4.5,0.235,9.61,13.2,31
02/01/2022 11:00,0.44,4.1,5.1,9.3,28,67,8.53,732,0,37,5.7,0.34,10.58,12,25
02/01/2022 12:00,0.44,4.1,5.2,9.4,30,73,7.99,732.1,0,33,5.1,0.412,11.96,9.7,18
02/01/2022 13:00,0.45,4.3,5.6,9.8,31,61,7.63,731.6,0,32,4.7,0.44,12.75,11.5,23
02/01/2022 14:00,0.46,3.8,5.3,9.2,34,56,7,731.1,0,30,3.6,0.424,13.6,11.4,39
02/01/2022 15:00,0.46,3.9,5.9,9.9,35,42,7.05,730.7,0,29,3.8,0.365,14.34,11.9,25
02/01/2022 16:00,0.46,3.8,5.9,9.7,35,41,6.46,730.9,0,28,4,0.268,14.07,11.9,23
02/01/2022 17:00,0.46,3.7,7.1,10.9,34,38,6.63,731.2,0,27,4.2,0.148,13.75,11.4,21
02/01/2022 18:00,0.47,3.2,9.1,12.2,32,43,7.16,731.7,0,27,4.3,0.018,12.71,8.8,14
02/01/2022 19:00,0.5,3.1,12.2,15.2,29,43,7.39,732.3,0,27,4.8,0.001,11.54,9.1,23
02/01/2022 20:00,0.51,3,13.2,16.1,29,43,7.67,733.1,0,25,4.6,0,10.55,8,41
02/01/2022 21:00,0.52,3,13.1,16,30,35,7.01,733.5,0,24,3.5,0,10.03,6.1,64
02/01/2022 22:00,0.61,5,21.1,26,19,25,6.07,734,0,27,3.3,0,8.97,4.6,275
02/01/2022 23:00,0.59,4.7,21.3,26,18,24,6.4,734.1,0,28,3.8,0,8.68,6.5,299
03/01/2022 00:00,0.59,3.6,22.2,25.8,17,29,6.3,734.1,0,30,3.3,0,8.51,3.9,136
03/01/2022 01:00,0.5,2.5,15.5,18,24,28,5.16,734,0,27,3.1,0,8.23,4.6,49
03/01/2022 02:00,0.56,3.4,19,22.3,17,17,6.51,733.8,0,33,3,0,7.21,4.5,174
03/01/2022 03:00,0.62,5.2,20.5,25.6,12,23,6.72,733.5,0,37,2.9,0,6.46,4.5,228
03/01/2022 04:00,0.57,3.1,17.9,21,14,15,7.5,733.3,0,37,3,0,6.07,3.6,190
03/01/2022 05:00,0.56,5.8,21.6,27.3,10,26,12.1,732.9,0,38,3.2,0,5.91,4.7,211
03/01/2022 06:00,0.72,14.3,25.2,39.5,5,40,12.06,732.9,0,43,3.3,0,5.15,3.9,201
03/01/2022 07:00,0.84,32.3,27.2,59.3,4,37,11.37,733.3,0,44,3.5,0,5.11,4.2,177
03/01/2022 08:00,1.02,39.9,29.8,69.5,5,44,10.4,733.7,0,41,4.9,0.008,5.4,3.7,151
03/01/2022 09:00,0.56,5.8,14.1,19.8,27,39,5.42,734.2,0,31,3.4,0.091,7.8,6.2,89
03/01/2022 10:00,0.6,6.7,11.9,18.4,31,22,6.31,734.8,0,30,3.5,0.238,8.42,9.8,87
03/01/2022 11:00,0.56,6.3,9,15.2,35,35,6.01,734.6,0,30,2.9,0.345,9.47,10.8,82
03/01/2022 12:00,0.5,5.2,7,12.1,39,27,8.18,733.9,0,27,3,0.416,10.85,15,82
03/01/2022 13:00,0.53,4.6,6.6,11.2,40,29,13.78,732.7,0,27,3,0.444,12.24,16.9,91
03/01/2022 14:00,0.58,5.1,7.6,12.7,40,36,15.01,731.2,0,26,2.9,0.426,13.52,18.8,102
03/01/2022 15:00,0.56,4.3,6.9,11.3,43,51,15.47,730.3,0,25,3,0.362,14.25,19.5,100
03/01/2022 16:00,0.57,4.5,7.5,11.9,43,45,13.28,729.8,0,24,3,0.265,14.81,19.5,103
03/01/2022 17:00,0.55,4.1,7.5,11.6,40,43,9.71,729.8,0,23,NULL,0.148,14.84,19.5,101
03/01/2022 18:00,0.57,3.9,10,13.9,37,28,8.4,729.6,0,24,2.9,0.017,14.11,19.1,100
03/01/2022 19:00,0.54,3.6,9.7,13.3,36,31,8.76,729.5,0,25,2.8,0.001,13.08,20.9,96
03/01/2022 20:00,0.49,3.6,8.3,11.8,36,31,4.84,730,0,24,2.7,0,12.46,20.6,103
03/01/2022 21:00,0.44,3.1,6.5,9.6,38,23,4.26,729.9,0,24,2.7,0,12.19,17.6,107
03/01/2022 22:00,0.49,3.6,13.3,16.9,29,12,3.97,729.8,0,26,2.9,0,11.38,8.6,171
03/01/2022 23:00,0.53,3.6,16.5,20,26,10,4.47,729.2,0,27,2.9,0,10.83,7.6,151
04/01/2022 00:00,0.44,2.4,7,9.3,35,20,5.81,728.8,0,29,NULL,0,10.17,10.5,112
04/01/2022 01:00,0.53,2.7,15.1,17.7,23,12,6.12,728.4,0,34,NULL,0,8.99,4.5,208
04/01/2022 02:00,0.59,3.6,22,25.6,13,17,6.93,727.9,0,39,2.8,0,7.91,4.2,253
04/01/2022 03:00,0.52,2.4,12.8,15.1,24,15,6.3,727.3,0,44,2.9,0,7.54,4.5,46
04/01/2022 04:00,0.57,2.4,14.1,16.5,20,18,9.14,727.3,0,49,3.1,0,6.81,3.3,51
04/01/2022 05:00,0.58,3.2,20,23.1,13,20,15.53,727.4,0,53,3.6,0,6.27,5.2,275
04/01/2022 06:00,0.72,17.7,33.2,50.8,4,32,20.23,727.5,0,53,4.9,0,6.26,6.1,286
04/01/2022 07:00,0.87,50.7,37.3,87.8,3,51,21.92,727.4,0,46,8.2,0,7.2,6.1,267
04/01/2022 08:00,1.18,73.2,36.4,109.4,3,73,21.86,727.1,0,45,8,0.007,7.08,3.8,309
04/01/2022 09:00,1.27,74.4,34.8,109,5,83,22.38,727.8,0,42,7.4,0.084,8.88,7,280
04/01/2022 10:00,1.26,53.2,38.2,91.2,10,82,22.9,727.8,0,37,14.8,0.22,11.5,8.4,297
04/01/2022 11:00,1.14,35.9,38.7,74.5,17,81,25.6,727.8,0,30,12.3,0.321,13.96,6.1,23
04/01/2022 12:00,1.08,22.1,35.6,57.7,26,82,28.65,727,0,28,8.2,0.394,15.08,7.1,98
04/01/2022 13:00,1.11,17.9,36,53.9,32,81,35.45,725.9,0,26,7.4,0.423,16.72,9.1,87
04/01/2022 14:00,1.08,12.3,32.5,44.7,42,93,39.55,724.6,0,26,6.7,0.411,18.82,11,83
04/01/2022 15:00,0.88,8.1,25.2,33.2,48,102,27.96,723.8,0,24,5.6,0.35,20.6,11.2,65
04/01/2022 16:00,0.85,6.4,22.7,29.1,50,82,25.94,723.5,0,24,5.3,0.255,21.53,12.7,75
04/01/2022 17:00,0.86,5.1,20.7,25.8,44,73,17.02,723.2,0,26,4.9,0.141,21.77,9.9,110
04/01/2022 18:00,0.96,4.4,22.6,27,42,58,18.22,723.2,0,29,4.6,0.018,20.44,11.3,91
04/01/2022 19:00,1.17,7.4,34.9,42.2,33,56,22.06,723.3,0,31,4.8,0.001,18.77,9.7,93
04/01/2022 20:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL
04/01/2022 21:00,1.59,35.5,48.7,83.9,4,63,18.54,723.6,0,45,4,0,14.45,4.1,201
04/01/2022 22:00,1.79,64.2,49.3,113.2,3,61,19.45,723.6,0,50,4.1,0,13.25,3.3,251
04/01/2022 23:00,2.05,89.1,47.2,136,3,70,21.19,723.6,0,54,4.2,0,12.01,2.3,263
05/01/2022 00:00,1.92,71.4,45.2,116.4,3,73,20.36,723.3,0,56,4.4,0,11.61,4.7,266
05/01/2022 01:00,1.11,10,46.9,56.8,5,67,22.97,723,0,49,5.1,0,12.97,8.3,281
05/01/2022 02:00,1.1,4.8,43.4,48.1,7,61,25.81,722.4,0,48,5.4,0,13.04,9,284
05/01/2022 03:00,0.88,3.2,28.9,32.1,15,63,21.95,722.1,0,49,5.1,0,12.73,9.4,288
05/01/2022 04:00,0.76,2.7,23.7,26.4,19,51,22.07,721.7,0,43,6.1,0,13.71,10.9,286
05/01/2022 05:00,0.7,3.1,23.6,26.7,18,56,21.98,721.4,0,43,6.1,0,13.33,9.8,290
05/01/2022 06:00,0.71,8.9,31,39.9,9,55,21.38,721.4,0,41,5.8,0,13.4,10.5,284
05/01/2022 07:00,0.82,25.6,35.2,60.7,5,70,16.01,721.4,0,36,4.7,0,14.02,9,294
05/01/2022 08:00,1.07,51.9,35.9,87.6,4,54,11.58,721.5,0,32,4.2,0.007,15.31,10.7,277
05/01/2022 09:00,1.44,79.7,35.1,114.6,5,50,13.44,721.8,0,40,4.3,0.095,14.09,8.8,285
05/01/2022 10:00,1.26,49.8,34.7,84.3,10,61,10.5,722.1,0,26,4.4,0.246,20.09,7.8,289
05/01/2022 11:00,0.83,23.2,31.4,54.5,21,51,14.52,722.3,0,14,7.2,0.354,23.39,8.3,271
05/01/2022 12:00,0.82,15.8,28.4,44.1,30,61,12.32,722,0,13,7.1,0.424,26.46,5.5,271
05/01/2022 13:00,0.87,12.6,30.8,43.4,40,47,15.73,721.2,0,12,9.5,0.447,27.35,7.5,83
05/01/2022 14:00,0.86,6,18.9,24.8,59,53,28.68,720.1,0,13,4.1,0.428,27.81,12.8,90
05/01/2022 15:00,0.78,4.5,15.2,19.6,65,71,31.15,719.5,0,13,4,0.362,28.28,14.3,96
05/01/2022 16:00,0.74,4.1,14.6,18.6,66,69,19.63,719,0,13,4.4,0.268,28.33,14.1,109
05/01/2022 17:00,0.71,3.6,17,20.5,70,54,13.61,719.1,0,16,8.9,0.148,27.02,14.1,123
05/01/2022 18:00,0.76,3.3,19.7,23,58,51,16.87,719.4,0,20,5.1,0.019,25.44,15.1,114
05/01/2022 19:00,0.79,3.6,18.1,21.7,47,56,13.22,719.5,0,20,3.8,0.001,24.48,14.6,114
05/01/2022 20:00,0.69,3.4,16.9,20.3,45,45,8.48,719.9,0,20,3.7,0,24.02,13.2,113
05/01/2022 21:00,1.05,9.1,43.9,52.9,18,36,12.48,720.4,0,27,4.3,0,21.21,6.1,226
05/01/2022 22:00,1.3,21,52.4,73.1,7,45,15.19,720.3,0,34,4.2,0,18.66,5.1,252
05/01/2022 23:00,1.49,33.1,53.7,86.5,4,55,17,720.3,0,37,4.2,0,17.33,4.4,256
06/01/2022 00:00,1.39,28.8,55.4,83.9,6,50,16.78,720.6,0,39,NULL,0,16.53,5.1,269
06/01/2022 01:00,0.84,3.5,35.3,38.8,19,56,12.44,720.3,0,43,3.7,0,15.39,4.8,277
06/01/2022 02:00,1.09,8.2,43.2,51.4,9,34,16.37,720.2,0,44,3.7,0,15.27,5,269
06/01/2022 03:00,0.85,4.2,32.1,36.2,15,52,13.31,719.9,0,50,3.6,0,13.59,5,289
06/01/2022 04:00,0.64,2.8,19.4,22.1,28,33,11.78,720,0,47,3.9,0,14.02,8.7,285
06/01/2022 05:00,0.67,2.9,19.7,22.6,28,34,13.15,720.2,0,42,4.5,0,14.79,8.3,284
06/01/2022 06:00,0.73,6.1,28.8,34.9,18,44,13.32,720.3,0,42,4.2,0,14.6,8.4,282
06/01/2022 07:00,0.77,12.8,35.2,48,15,44,12.59,720.6,0,34,4.9,0,16.49,10.1,280
06/01/2022 08:00,1.07,39.8,42.9,82.5,7,44,12.66,721,0,33,5.1,0.007,16.52,9.4,280
06/01/2022 09:00,1.58,82.6,44.6,127,5,60,15.29,721.5,0,36,5.5,0.09,16.73,6.9,280
06/01/2022 10:00,1.42,59.8,46,105.6,10,58,15.98,722.3,0,28,6.2,0.234,19.72,9.5,275
06/01/2022 11:00,1.08,29,44,72.8,24,71,25.07,722.8,0,21,11.3,0.343,23.17,7.9,279
06/01/2022 12:00,0.96,11.7,34.1,45.8,47,90,21.53,722.5,0,19,8,0.418,26.33,5.2,22
06/01/2022 13:00,1.12,12.3,43.8,55.9,54,72,35.83,722.1,0,18,12.6,0.444,27.17,5.9,95
06/01/2022 14:00,1.13,8,40.7,48.7,73,95,41.95,721.4,0,16,9.4,0.425,27.84,7,97
06/01/2022 15:00,1,5.1,29.8,34.9,88,102,37.8,721,0,14,7.1,0.369,28.63,8.3,107
06/01/2022 16:00,0.76,3.9,21.7,25.6,84,84,18.29,720.7,0,12,5.5,0.27,28.72,9.9,138
06/01/2022 17:00,0.69,3.5,21,24.5,79,64,14.63,721,0,13,5.2,0.148,28.19,12,149
06/01/2022 18:00,0.87,2.9,25.7,28.7,82,58,18.12,721.2,0,19,9.1,0.02,26.69,11.2,124
06/01/2022 19:00,0.85,2.8,23.1,25.9,69,67,15.45,721.6,0,24,7.1,0.001,25.39,12.1,123
06/01/2022 20:00,0.73,3,16.2,19.1,52,48,11.31,722.2,0,28,8.5,0,24.87,13,119
06/01/2022 21:00,0.71,2.9,15.7,18.6,48,35,13.77,722.8,0,29,20.1,0,24.38,11.2,121
06/01/2022 22:00,0.75,3,17.2,20.2,50,29,14.98,723.4,0,32,9.1,0,23.75,9,117
06/01/2022 23:00,1.22,5.7,42.3,47.8,23,38,21.73,723.6,0,38,6.4,0,21.84,9,86
07/01/2022 00:00,0.64,2.8,11.3,14.1,44,57,12.24,723.7,0,44,14.6,0,22.48,10.8,116
07/01/2022 01:00,0.73,2.8,14.1,16.9,44,37,20.05,723.9,0,54,13.7,0,21.49,12.6,95
07/01/2022 02:00,0.69,NULL,NULL,NULL,32,47,17.18,724.4,0,75,4.3,0,18.81,14.6,101
07/01/2022 03:00,0.62,2.7,13.9,16.6,29,34,14.76,724.3,0,62,3.9,0,17.52,9.2,22
07/01/2022 04:00,0.57,2.7,12.9,15.6,30,46,11.49,724.5,0,67,3.9,0,14.56,8,46
07/01/2022 05:00,0.58,NULL,NULL,NULL,27,43,11.78,724.7,0,82,3.1,0,12.2,5.7,140
07/01/2022 06:00,0.59,NULL,NULL,NULL,24,32,12.33,724.7,0,81,3.7,0,11.88,6.9,61
07/01/2022 07:00,0.66,3.1,17.7,20.8,17,33,13.22,725.1,0,88,4.1,0,11.16,6.4,87
07/01/2022 08:00,0.76,8.2,27.7,35.9,7,34,15.08,725.7,0,88,4.8,0.001,10.87,5.9,25
07/01/2022 09:00,0.72,6.5,17.7,24.1,14,43,12.11,726.2,0,89,3.4,0.007,10.57,9.3,60
07/01/2022 10:00,0.75,6.1,15.2,21.2,13,23,11.37,726.7,0,89,3.1,0.025,10.23,5.6,92
07/01/2022 11:00,0.92,7,15.2,22.1,15,32,13.81,726.8,0,87,3.1,0.061,10.58,6.2,81
07/01/2022 12:00,0.86,12.7,23.4,36,11,36,18.69,726.3,0,82,3.3,0.07,12,5,247
07/01/2022 13:00,0.95,8.4,17.9,26.4,17,40,28.82,725.6,0,78,3.2,0.073,11.92,9.8,97
07/01/2022 14:00,0.89,7.5,14.6,22,19,61,39.87,724.5,0,75,3,0.085,11.88,10.8,95
07/01/2022 15:00,0.85,7.9,14.3,22.1,20,71,33.31,723.7,0,74,3,0.174,12.34,10.3,83
07/01/2022 16:00,0.9,10.3,18.2,28.5,19,60,25.25,723.3,0,73,3.1,0.224,12.91,9.7,75
07/01/2022 17:00,0.91,9.8,20.3,30.2,15,57,26.12,722.9,0,76,3,0.129,12.66,10.6,78
07/01/2022 18:00,0.93,7.3,19.7,26.9,13,69,32.04,723,0,77,2.8,0.031,12.52,11.2,86
07/01/2022 19:00,0.85,5.1,16.3,21.3,14,70,28.42,723.1,0,78,2.8,0.001,11.97,10.6,105
07/01/2022 20:00,0.83,5.4,14.9,20.2,15,60,22,723.4,0,83,NULL,0,11.41,10.6,94
07/01/2022 21:00,0.78,4.9,14.2,19,16,43,21.57,723.6,0,81,3,0,11.66,9.1,86
07/01/2022 22:00,0.8,4.2,15.8,19.9,13,43,21,723.6,0,79,3,0,11.74,7.7,87
07/01/2022 23:00,0.73,3.4,13.2,16.5,14,46,18.19,723.6,0,79,2.9,0,11.35,8.3,80
