"","date","O3","RH","SR","TOUT","WSR","MONTH","HORA","O3P","CALIDAD"
"8",-61472859804,21,31,0,21.15,5.1,"01",7,19.5,"Buena"
"9",-61472856204,17,26,0.008,22.53,5.9,"01",8,19.75,"Buena"
"10",-61472852604,13,27,0.038,23.41,4.2,"01",9,19,"Buena"
"11",-61472849004,12,23,0.122,27.53,4.5,"01",10,17.875,"Buena"
"12",-61472845404,26,18,0.488,30.19,8.5,"01",11,18.875,"Buena"
"13",-61472841804,30,17,0.605,30.99,10.7,"01",12,20.125,"Buena"
"14",-61472838204,39,16,0.67,31.97,11.2,"01",13,22.5,"Buena"
"15",-61472834604,43,13,0.675,33.48,7.5,"01",14,25.125,"Buena"
"16",-61472831004,51,11,0.599,34.34,6.4,"01",15,28.875,"Buena"
"17",-61472827404,43,6,0.246,34.16,10.2,"01",16,32.125,"Buena"
"18",-61472823804,43,8,0.056,33.81,6.1,"01",17,35.875,"Buena"
"19",-61472820204,41,14,0.019,30.95,4.5,"01",18,39.5,"Buena"
"20",-61472816604,29,13,0.001,28.54,5.5,"01",19,39.875,"Buena"
"21",-61472813004,14,14,0,26.66,3.6,"01",20,37.875,"Buena"
"22",-61472809404,17,15,0,25.14,3.7,"01",21,35.125,"Buena"
"23",-61472805804,15,16,0,24.69,4.3,"01",22,31.625,"Buena"
"24",-61472802204,21,16,0,24.63,4.8,"01",23,27.875,"Buena"
"25",-61472798604,12,18,0,23.42,4.3,"01",0,24,"Buena"
"26",-61472795004,10,21,0,22.27,4,"01",1,19.875,"Buena"
"27",-61472791404,23,19,0,22.96,7.1,"01",2,17.625,"Buena"
"28",-61472787804,18,20,0,22.11,4.4,"01",3,16.25,"Buena"
"29",-61472784204,23,20,0,21.67,9.3,"01",4,17.375,"Buena"
"30",-61472780604,36,20,0,20.02,11.2,"01",5,19.75,"Buena"
"31",-61472777004,37,20,0,18.5,12.7,"01",6,22.5,"Buena"
"32",-61472773404,31,27,0,16.16,11.2,"01",7,23.75,"Buena"
"33",-61472769804,27,35,0.008,13.39,12.1,"01",8,25.625,"Buena"
