"","O3","RH","SR","TOUT","WSR","O3P"
"8",13,56,0.001,16.48,4.4,17.625
"9",5,54,0.009,16.29,3.7,15.625
"10",10,50,0.086,17.93,5.3,13.5
"11",17,36,0.292,23.59,4.3,12.625
"12",22,25,0.417,29.51,5,13.5
"13",32,17,0.49,32.96,5.6,15.375
"14",38,15,0.522,34.05,5.6,18.5
"15",46,12,0.496,34.99,6.4,22.875
"16",51,13,0.428,34.83,10.1,27.625
"17",52,14,0.305,34.97,7.6,33.5
"18",49,16,0.152,33.69,7,38.375
"19",35,19,0.017,30.25,5.7,40.625
"20",16,23,0.001,26.3,5.2,39.875
"21",13,25,0.001,23.89,4.4,37.5
"22",11,26,0.001,22.44,5,34.125
"23",13,27,0.001,21.63,4.3,30
"24",10,30,0.001,20.65,3.4,24.875
"25",5,37,0.001,19.24,2.7,19
"26",4,41,0.001,18.49,3.7,13.375
"27",12,38,0.001,18.68,3.6,10.5
"28",15,35,0.001,18.66,3.9,10.375
"29",25,25,0.001,20.97,8,11.875
"30",38,20,0.001,20.14,8.8,15.25
"31",36,22,0.001,18.84,10.8,18.125
"32",32,30,0.001,16.27,11.1,20.875
"33",31,36,0.009,13.3,11,24.125
"34",31,36,0.134,11.75,9.3,27.5
"35",27,38,0.303,10.28,11,29.375
"36",28,35,0.428,10.71,9.8,31
"37",29,31,0.511,11.84,9.2,31.5
"38",31,30,0.541,13.07,8.7,30.625
"39",34,28,0.519,14.1,8.1,30.375
"40",36,26,0.446,15.1,7.6,30.875
"41",35,25,0.329,14.84,7.6,31.375
"42",34,25,0.179,14.21,7.7,31.75
"43",32,25,0.019,12.29,7.7,32.375
"44",28,25,0.001,11.49,6,32.375
"45",29,25,0.001,10.44,7.8,32.375
"46",31,23,0.001,9.89,6.7,32.375
"47",13,32,0.001,8.37,3.8,29.75
"48",13,37,0.001,7.41,6.5,26.875
"49",15,38,0.001,7.34,6.4,24.375
"50",20,39,0.001,6.74,7.3,22.625
"51",23,43,0.001,5.81,7.8,21.5
"52",29,35,0.001,6.29,6.9,21.625
"53",28,40,0.001,5.2,9.3,21.5
"54",26,41,0.001,4.77,9.5,20.875
"55",23,38,0.001,4.79,10.3,22.125
"56",18,38,0.001,4.73,7.1,22.75
"57",11,42,0.008,4.08,5.6,22.25
"58",10,39,0.138,5.5,7.7,21
"59",26,27,0.307,8.8,8.4,21.375
"60",32,22,0.435,10.67,10.6,21.75
"61",39,19,0.519,13.38,7.8,23.125
"62",41,21,0.55,14.99,7.9,25
"63",40,22,0.524,15.24,9.7,27.125
"64",43,21,0.445,15.67,9.8,30.25
