"","date","O3","RH","SR","TOUT","WSR","MONTH","HORA","O3P","CALIDAD"
"8",1641042000,13,56,0.001,16.48,4.4,"01",7,17.625,"Buena"
"9",1641045600,5,54,0.009,16.29,3.7,"01",8,15.625,"Buena"
"10",1641049200,10,50,0.086,17.93,5.3,"01",9,13.5,"Buena"
"11",1641052800,17,36,0.292,23.59,4.3,"01",10,12.625,"Buena"
"12",1641056400,22,25,0.417,29.51,5,"01",11,13.5,"Buena"
"13",1641060000,32,17,0.49,32.96,5.6,"01",12,15.375,"Buena"
"14",1641063600,38,15,0.522,34.05,5.6,"01",13,18.5,"Buena"
"15",1641067200,46,12,0.496,34.99,6.4,"01",14,22.875,"Buena"
"16",1641070800,51,13,0.428,34.83,10.1,"01",15,27.625,"Buena"
"17",1641074400,52,14,0.305,34.97,7.6,"01",16,33.5,"Aceptable"
"18",1641078000,49,16,0.152,33.69,7,"01",17,38.375,"Buena"
"19",1641081600,35,19,0.017,30.25,5.7,"01",18,40.625,"Buena"
"20",1641085200,16,23,0.001,26.3,5.2,"01",19,39.875,"Buena"
"21",1641088800,13,25,0.001,23.89,4.4,"01",20,37.5,"Buena"
"22",1641092400,11,26,0.001,22.44,5,"01",21,34.125,"Buena"
"23",1641096000,13,27,0.001,21.63,4.3,"01",22,30,"Buena"
"24",1641099600,10,30,0.001,20.65,3.4,"01",23,24.875,"Buena"
"25",1641103200,5,37,0.001,19.24,2.7,"01",0,19,"Buena"
"26",1641106800,4,41,0.001,18.49,3.7,"01",1,13.375,"Buena"
"27",1641110400,12,38,0.001,18.68,3.6,"01",2,10.5,"Buena"
"28",1641114000,15,35,0.001,18.66,3.9,"01",3,10.375,"Buena"
"29",1641117600,25,25,0.001,20.97,8,"01",4,11.875,"Buena"
"30",1641121200,38,20,0.001,20.14,8.8,"01",5,15.25,"Buena"
"31",1641124800,36,22,0.001,18.84,10.8,"01",6,18.125,"Buena"
"32",1641128400,32,30,0.001,16.27,11.1,"01",7,20.875,"Buena"
"33",1641132000,31,36,0.009,13.3,11,"01",8,24.125,"Buena"
"34",1641135600,31,36,0.134,11.75,9.3,"01",9,27.5,"Buena"
"35",1641139200,27,38,0.303,10.28,11,"01",10,29.375,"Buena"
"36",1641142800,28,35,0.428,10.71,9.8,"01",11,31,"Buena"
"37",1641146400,29,31,0.511,11.84,9.2,"01",12,31.5,"Buena"
"38",1641150000,31,30,0.541,13.07,8.7,"01",13,30.625,"Buena"
"39",1641153600,34,28,0.519,14.1,8.1,"01",14,30.375,"Buena"
"40",1641157200,36,26,0.446,15.1,7.6,"01",15,30.875,"Buena"
"41",1641160800,35,25,0.329,14.84,7.6,"01",16,31.375,"Buena"
"42",1641164400,34,25,0.179,14.21,7.7,"01",17,31.75,"Buena"
"43",1641168000,32,25,0.019,12.29,7.7,"01",18,32.375,"Buena"
"44",1641171600,28,25,0.001,11.49,6,"01",19,32.375,"Buena"
"45",1641175200,29,25,0.001,10.44,7.8,"01",20,32.375,"Buena"
"46",1641178800,31,23,0.001,9.89,6.7,"01",21,32.375,"Buena"
"47",1641182400,13,32,0.001,8.37,3.8,"01",22,29.75,"Buena"
"48",1641186000,13,37,0.001,7.41,6.5,"01",23,26.875,"Buena"
"49",1641189600,15,38,0.001,7.34,6.4,"01",0,24.375,"Buena"
"50",1641193200,20,39,0.001,6.74,7.3,"01",1,22.625,"Buena"
"51",1641196800,23,43,0.001,5.81,7.8,"01",2,21.5,"Buena"
"52",1641200400,29,35,0.001,6.29,6.9,"01",3,21.625,"Buena"
"53",1641204000,28,40,0.001,5.2,9.3,"01",4,21.5,"Buena"
"54",1641207600,26,41,0.001,4.77,9.5,"01",5,20.875,"Buena"
"55",1641211200,23,38,0.001,4.79,10.3,"01",6,22.125,"Buena"
"56",1641214800,18,38,0.001,4.73,7.1,"01",7,22.75,"Buena"
"57",1641218400,11,42,0.008,4.08,5.6,"01",8,22.25,"Buena"
"58",1641222000,10,39,0.138,5.5,7.7,"01",9,21,"Buena"
"59",1641225600,26,27,0.307,8.8,8.4,"01",10,21.375,"Buena"
"60",1641229200,32,22,0.435,10.67,10.6,"01",11,21.75,"Buena"
"61",1641232800,39,19,0.519,13.38,7.8,"01",12,23.125,"Buena"
"62",1641236400,41,21,0.55,14.99,7.9,"01",13,25,"Buena"
"63",1641240000,40,22,0.524,15.24,9.7,"01",14,27.125,"Buena"
"64",1641243600,43,21,0.445,15.67,9.8,"01",15,30.25,"Buena"
"65",1641247200,44,21,0.329,15.59,12.7,"01",16,34.375,"Buena"
"66",1641250800,43,20,0.189,15.21,15.3,"01",17,38.5,"Buena"
"67",1641254400,38,21,0.019,14.17,12.4,"01",18,40,"Buena"
"68",1641258000,35,22,0.002,13.19,10.8,"01",19,40.375,"Buena"
"69",1641261600,33,23,0.001,12.12,8.4,"01",20,39.625,"Buena"
"70",1641265200,30,24,0.001,11.3,8.2,"01",21,38.25,"Buena"
"71",1641268800,34,25,0.001,10.65,8,"01",22,37.5,"Buena"
"72",1641272400,35,27,0.001,10.07,6.3,"01",23,36.5,"Buena"
"73",1641276000,31,28,0.001,9.46,5.6,"01",0,34.875,"Buena"
"74",1641279600,28,32,0.001,8.46,5.7,"01",1,33,"Buena"
"75",1641283200,29,36,0.001,7.91,8.5,"01",2,31.875,"Buena"
"76",1641286800,29,40,0.001,6.72,5,"01",3,31.125,"Buena"
"77",1641290400,25,43,0.001,6.45,3.5,"01",4,30.125,"Buena"
"78",1641294000,21,47,0.001,6.94,5.8,"01",5,29,"Buena"
"79",1641297600,12,46,0.001,6.81,6.3,"01",6,26.25,"Buena"
"80",1641301200,4,47,0.001,6.47,5.1,"01",7,22.375,"Buena"
"81",1641304800,4,49,0.008,5.7,6.3,"01",8,19,"Buena"
"82",1641308400,6,43,0.121,7.97,4.4,"01",9,16.25,"Buena"
"83",1641312000,12,32,0.28,11.76,4.3,"01",10,14.125,"Buena"
"84",1641315600,18,28,0.403,13.94,4.7,"01",11,12.75,"Buena"
"85",1641319200,22,23,0.484,16.36,4,"01",12,12.375,"Buena"
"86",1641322800,31,21,0.521,18.82,5.9,"01",13,13.625,"Buena"
"87",1641326400,37,21,0.499,20.48,5.5,"01",14,16.75,"Buena"
"88",1641330000,48,18,0.432,22.4,7.9,"01",15,22.25,"Buena"
"89",1641333600,50,20,0.314,22.88,5.8,"01",16,28,"Buena"
"90",1641337200,45,22,0.174,22.4,7.3,"01",17,32.875,"Buena"
"91",1641340800,33,29,0.02,19.14,3.7,"01",18,35.5,"Buena"
"92",1641344400,10,36,0.001,16.96,3.5,"01",19,34.5,"Buena"
"93",1641348000,14,40,0.001,15.46,3.6,"01",20,33.5,"Buena"
"94",1641351600,5,47,0.001,13.43,2.8,"01",21,30.25,"Buena"
"95",1641355200,4,50,0.001,12.07,2.6,"01",22,26.125,"Buena"
"96",1641358800,3,56,0.001,10.78,2.1,"01",23,20.5,"Buena"
"97",1641362400,3,58,0.001,10.22,2.3,"01",0,14.625,"Buena"
"98",1641366000,3,61,0.001,9.17,1.9,"01",1,9.375,"Buena"
"100",1641373200,4,65,0.001,8.22,2.1,"01",3,5.14285714285714,"Buena"
"101",1641376800,3,66,0.001,7.85,2.2,"01",4,3.57142857142857,"Buena"
"102",1641380400,5,64,0.001,8.03,2.8,"01",5,3.57142857142857,"Buena"
"103",1641384000,5,61,0.001,8.71,3.8,"01",6,3.71428571428571,"Buena"
"104",1641387600,3,61,0.001,8.22,2.9,"01",7,3.71428571428571,"Buena"
"105",1641391200,3,59,0.007,8.33,2.7,"01",8,3.71428571428571,"Buena"
"106",1641394800,5,47,0.139,12.07,3.6,"01",9,4,"Buena"
"107",1641398400,7,30,0.306,18.55,3,"01",10,4.375,"Buena"
"108",1641402000,20,19,0.432,22.94,3.6,"01",11,6.375,"Buena"
"109",1641405600,30,13,0.514,25.58,5.1,"01",12,9.75,"Buena"
"110",1641409200,40,11,0.545,27,5.6,"01",13,14.125,"Buena"
"111",1641412800,55,11,0.518,28.15,6.2,"01",14,20.375,"Aceptable"
"112",1641416400,64,11,0.444,29.26,6.4,"01",15,28,"Aceptable"
