date,CO,NO,NO2,NOX,O3,PM10,PM2.5,PRS,RAINF,RH,SO2,SR,TOUT,WSR,WDR
01/01/2022 00:00,1.98,2.6,26.3,28.6,21,103,83,706,0,58,3.4,0,20.91,5.9,306
01/01/2022 01:00,1.79,2.5,21.2,23.6,27,115,80,705.6,0,55,4.5,0.001,20.89,6.2,309
01/01/2022 02:00,1.65,2.6,23.1,25.5,24,123,93,705.5,0,57,4,0.001,20.13,6.1,306
01/01/2022 03:00,1.68,2.9,25.8,28.5,15,83,58,705.3,0,62,3.6,0.001,19.16,4.4,304
01/01/2022 04:00,1.5,2.6,17.9,20.4,17,80,67,705.4,0,65,3.1,0.001,17.01,3.5,92
01/01/2022 05:00,1.45,2.6,17.9,20.3,13,57,52,705.3,0,66,2.9,0.001,16.38,3.3,175
01/01/2022 06:00,1.37,2.8,16.5,19.2,11,59,20,705.5,0,64,2.8,0.001,16.12,4.2,150
01/01/2022 07:00,1.18,3,13.2,16.1,13,54,19,705.9,0,56,2.9,0.001,16.48,4.4,183
01/01/2022 08:00,1.21,5.2,17.4,22.5,5,39,10,706.4,0,54,2.8,0.009,16.29,3.7,263
01/01/2022 09:00,1.23,9,15.8,24.6,10,41,12,707.1,0,50,3.1,0.086,17.93,5.3,156
01/01/2022 10:00,1.31,10.7,14.3,24.8,17,42,5,707.7,0,36,3.3,0.292,23.59,4.3,176
01/01/2022 11:00,1.19,8.6,12.6,21.1,22,52,10,707.9,0,25,4.4,0.417,29.51,5,318
01/01/2022 12:00,1.03,4.3,6.6,10.9,32,54,20,707.5,0,17,5.3,0.49,32.96,5.6,349
01/01/2022 13:00,1.03,3.1,4.2,7.3,38,52,7,706.7,0,15,3.6,0.522,34.05,5.6,357
01/01/2022 14:00,1.07,2.9,4.5,7.5,46,38,23,705.9,0,12,3.2,0.496,34.99,6.4,128
01/01/2022 15:00,1.12,3.5,7.6,11,51,37,21,705.4,0,13,3.1,0.428,34.83,10.1,164
01/01/2022 16:00,1.14,3.2,8.1,11.3,52,48,12,705.3,0,14,3.2,0.305,34.97,7.6,182
01/01/2022 17:00,1.16,3.3,10.4,13.7,49,36,6,705.7,0,16,3.1,0.152,33.69,7,175
01/01/2022 18:00,1.23,3.6,17.2,20.7,35,45,25,706.2,0,19,3,0.017,30.25,5.7,171
01/01/2022 19:00,1.62,6.4,25.3,31.5,16,39,8,706.9,0,23,2.8,0.001,26.3,5.2,151
01/01/2022 20:00,1.52,4.9,25.1,29.8,13,37,5,707.5,0,25,2.7,0.001,23.89,4.4,232
01/01/2022 21:00,1.4,4.9,24.9,29.6,11,32,16,708,0,26,2.7,0.001,22.44,5,258
01/01/2022 22:00,1.51,3.8,22.1,25.7,13,30,7,708.3,0,27,2.6,0.001,21.63,4.3,261
01/01/2022 23:00,1.58,4.4,23.2,27.5,10,24,14,708.7,0,30,2.6,0.001,20.65,3.4,233
02/01/2022 00:00,1.77,6.4,25.7,31.8,5,30,10,709,0,37,NULL,0.001,19.24,2.7,309
02/01/2022 01:00,1.59,7,25.5,32.3,4,36,NULL,709.3,0,41,2.7,0.001,18.49,3.7,303
02/01/2022 02:00,1.45,2.7,17.3,19.8,12,34,21,709.6,0,38,2.7,0.001,18.68,3.6,285
02/01/2022 03:00,1.52,2.8,14.7,17.3,15,29,3,710.3,0,35,3.1,0.001,18.66,3.9,322
02/01/2022 04:00,1.48,2.5,9.1,11.5,25,30,NULL,711.2,0,25,3.6,0.001,20.97,8,340
02/01/2022 05:00,1.3,2.4,3.8,6.2,38,89,3,713.4,0,20,2.9,0.001,20.14,8.8,340
02/01/2022 06:00,1.35,2.4,3.8,6.2,36,129,20,714.6,0,22,2.7,0.001,18.84,10.8,334
02/01/2022 07:00,1.32,2.5,4.8,7.3,32,90,26,715.9,0,30,2.5,0.001,16.27,11.1,342
02/01/2022 08:00,1.2,2.5,5.2,7.8,31,145,32,717.5,0,36,2.4,0.009,13.3,11,338
02/01/2022 09:00,1.29,3.1,5.4,8.5,31,121,19,719.2,0,36,2.6,0.134,11.75,9.3,350
02/01/2022 10:00,1.42,3.9,5.1,9.1,27,104,NULL,720.7,0,38,3.8,0.303,10.28,11,338
02/01/2022 11:00,1.22,4.3,4.9,9.2,28,79,NULL,721.7,0,35,4.8,0.428,10.71,9.8,339
02/01/2022 12:00,1.25,4.8,5.7,10.5,29,72,6,721.8,0,31,4.7,0.511,11.84,9.2,5
02/01/2022 13:00,1.27,4.5,5.7,10.2,31,72,7,721.3,0,30,4.2,0.541,13.07,8.7,4
02/01/2022 14:00,1.4,4.2,5.7,9.9,34,64,NULL,720.7,0,28,3.8,0.519,14.1,8.1,11
02/01/2022 15:00,1.39,4,5.8,9.7,36,57,10,720.5,0,26,3.4,0.446,15.1,7.6,12
02/01/2022 16:00,1.61,3.9,6.2,10.1,35,48,7,720.5,0,25,3.7,0.329,14.84,7.6,15
02/01/2022 17:00,1.68,3.8,7.9,11.7,34,49,10,720.9,0,25,3.7,0.179,14.21,7.7,NULL
02/01/2022 18:00,1.52,2.9,9.3,12.1,32,44,26,721.6,0,25,4.1,0.019,12.29,7.7,336
02/01/2022 19:00,1.53,2.6,11.9,14.4,28,51,11,722.2,0,25,5.7,0.001,11.49,6,337
02/01/2022 20:00,1.51,2.6,11.8,14.3,29,47,NULL,723,0,25,4.8,0.001,10.44,7.8,327
02/01/2022 21:00,1.37,2.7,10,12.6,31,41,NULL,723.6,0,23,4.1,0.001,9.89,6.7,307
