"","date","O3","RH","SR","TOUT","WSR","MONTH","HORA","O3P","CALIDAD"
"8",-61472859804,13,24,0,26.06,7.7,"01",7,6.5,"Buena"
"9",-61472856204,18,20,0,28.36,12.2,"01",8,7.75,"Buena"
"10",-61472852604,22,21,0,28.76,13.7,"01",9,9.75,"Buena"
"11",-61472849004,25,20,0,29.92,15.4,"01",10,12.125,"Buena"
"12",-61472845404,27,18,0,31.82,18,"01",11,14.875,"Buena"
"13",-61472841804,28,17,0,33.24,18.4,"01",12,17.875,"Buena"
"14",-61472838204,33,14,0,33.86,21.8,"01",13,21.625,"Buena"
"15",-61472834604,37,12,0,34.31,20.6,"01",14,25.375,"Buena"
"16",-61472831004,37,11,0,34.53,22.8,"01",15,28.375,"Buena"
"17",-61472827404,39,9,0,34.79,19,"01",16,31,"Buena"
"18",-61472823804,40,8,0,34.74,16.8,"01",17,33.25,"Buena"
"19",-61472820204,36,9,0,32.75,15.9,"01",18,34.625,"Buena"
"20",-61472816604,38,10,0,31.43,13.5,"01",19,36,"Buena"
"21",-61472813004,32,11,0,30.27,9,"01",20,36.5,"Buena"
"22",-61472809404,27,12,0,29.09,8.6,"01",21,35.75,"Buena"
"23",-61472805804,7,17,0,26.03,4.8,"01",22,32,"Buena"
"24",-61472802204,5,20,0,24.75,4.3,"01",23,28,"Buena"
"25",-61472798604,7,23,0,22.88,4.5,"01",0,24,"Buena"
"26",-61472795004,7,24,0,21.7,4.1,"01",1,19.875,"Buena"
"27",-61472791404,7,23,0,21.42,6.3,"01",2,16.25,"Buena"
"28",-61472787804,9,21,0,21.95,6.3,"01",3,12.625,"Buena"
"29",-61472784204,23,22,0,21.18,11.3,"01",4,11.5,"Buena"
"30",-61472780604,34,20,0,19.48,12.3,"01",5,12.375,"Buena"
"31",-61472777004,33,23,0,17.81,16.1,"01",6,15.625,"Buena"
"32",-61472773404,29,32,0,14.75,7.5,"01",7,18.625,"Buena"
"33",-61472769804,30,35,0,12.26,8.1,"01",8,21.5,"Buena"
"34",-61472766204,28,35,0,11.34,6.9,"01",9,24.125,"Buena"
"35",-61472762604,25,35,0,10.95,8.7,"01",10,26.375,"Buena"
"36",-61472759004,27,31,0,10.96,11.3,"01",11,28.625,"Buena"
"37",-61472755404,29,27,0,12.44,10.3,"01",12,29.375,"Buena"
"38",-61472751804,31,26,0,13.15,13.6,"01",13,29,"Buena"
"39",-61472748204,32,25,0,14.14,14.2,"01",14,28.875,"Buena"
"40",-61472744604,33,24,0,14.18,13.4,"01",15,29.375,"Buena"
"41",-61472741004,34,23,0,14.13,11.6,"01",16,29.875,"Buena"
"42",-61472737404,35,22,0,13.53,11.4,"01",17,30.75,"Buena"
"43",-61472733804,34,23,0,11.81,9.8,"01",18,31.875,"Buena"
"44",-61472730204,32,23,0,10.36,7.2,"01",19,32.5,"Buena"
"45",-61472726604,34,21,0,9.32,4.7,"01",20,33.125,"Buena"
"46",-61472723004,31,21,0,8.85,4.6,"01",21,33.125,"Buena"
"47",-61472719404,35,20,0,8.44,3.6,"01",22,33.5,"Buena"
"48",-61472715804,30,20,0,8.02,5.9,"01",23,33.125,"Buena"
"49",-61472712204,31,21,0,7.57,6.9,"01",0,32.75,"Buena"
"50",-61472708604,33,22,0,7.16,6.6,"01",1,32.5,"Buena"
"51",-61472705004,27,25,0,6.06,3.8,"01",2,31.625,"Buena"
"52",-61472701404,25,28,0,5.52,4.5,"01",3,30.75,"Buena"
"53",-61472697804,15,30,0,5.09,5,"01",4,28.375,"Buena"
"54",-61472694204,17,32,0,4.58,3.4,"01",5,26.625,"Buena"
"55",-61472690604,6,33,0,4.33,4.5,"01",6,23,"Buena"
"56",-61472687004,4,35,0,3.42,2.7,"01",7,19.75,"Buena"
"57",-61472683404,4,35,0,4.08,2,"01",8,16.375,"Buena"
"58",-61472679804,10,28,0,8.15,4.6,"01",9,13.5,"Buena"
"59",-61472676204,15,26,0,8.9,6.7,"01",10,12,"Buena"
"60",-61472672604,22,25,0,9.98,7.7,"01",11,11.625,"Buena"
"61",-61472669004,39,23,0,11.44,7.9,"01",12,14.625,"Buena"
"62",-61472665404,40,19,0,12.39,9.6,"01",13,17.5,"Buena"
"63",-61472661804,42,19,0,13.94,9.1,"01",14,22,"Buena"
"64",-61472658204,43,20,0,14.64,11.4,"01",15,26.875,"Buena"
"65",-61472654604,43,20,0,14.72,12.8,"01",16,31.75,"Buena"
"66",-61472651004,41,20,0,15.09,11.7,"01",17,35.625,"Buena"
"67",-61472647404,36,21,0,13.97,10.8,"01",18,38.25,"Buena"
"68",-61472643804,29,21,0,12.78,10.1,"01",19,39.125,"Buena"
"69",-61472640204,25,22,0,11.77,8.2,"01",20,37.375,"Buena"
"70",-61472636604,22,22,0,11.04,7.5,"01",21,35.125,"Buena"
"71",-61472633004,15,24,0,10.43,4.4,"01",22,31.75,"Buena"
"72",-61472629404,11,24,0,9.8,3.2,"01",23,27.75,"Buena"
"73",-61472625804,24,27,0,9.53,6.7,"01",0,25.375,"Buena"
"74",-61472622204,30,30,0,9.11,6,"01",1,24,"Buena"
"75",-61472618604,29,33,0,8.54,3.9,"01",2,23.125,"Buena"
"76",-61472615004,16,36,0,7.73,5.8,"01",3,21.5,"Buena"
"77",-61472611404,4,39,0,5.72,4.5,"01",4,18.875,"Buena"
